"","V1","V2","V3","V4","Sample.ID","Subject","Site","Month","Collection.Date","Sample.Type","Season","Year","Cohort","Cohort_label"
"57",-0.237938282542095,-0.17316723647027,-0.0280593423753156,0.0191934543776968,"C0120-V301NS01","Cow 01","Farm 20","Jan","2020-01-27","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"58",-0.230715176889013,0.0569748365268977,-0.094005572300249,0.0973750591265982,"C0121-F001NS01","Cow 01","Farm 21","Oct","2019-10-25","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"59",-0.125418470831316,-0.358559374493082,0.154126192898956,-0.0164110895204627,"C0121-S001NS01","Cow 01","Farm 21","Aug","2019-08-02","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"60",-0.286792622163652,0.0818842552992279,-0.0349485023918177,0.00497110461226975,"C0121-V301NS01","Cow 01","Farm 21","Jan","2020-01-17","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"61",-0.194451390069516,0.0293025357991855,-0.0979196655801605,0.123640827326814,"C0122-S001NS01","Cow 01","Farm 22","Jul","2019-07-31","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"62",-0.264854310255782,-0.0820400916616849,-0.19559419030662,-0.106221941422723,"C0122-V201NS01","Cow 01","Farm 22","Oct","2019-10-30","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"63",-0.23709057286666,-0.196838846300882,0.0828393015445533,-0.0813805241200436,"C0122-V301NS01","Cow 01","Farm 22","Jan","2020-01-27","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"64",-0.101313904646408,-0.177346881652617,-0.0685275712863729,-0.014274005563118,"C0123-S001NS01","Cow 01","Farm 23","Aug","2019-08-20","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"65",-0.187054412537238,0.0995102645035769,-0.00324287311575633,0.0709210814275186,"C0123-V201NS01","Cow 01","Farm 23","Nov","2019-11-14","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"66",-0.0644078735725834,-0.229845100312591,0.0243845177254235,-0.117650214713569,"C0123-V301NS01","Cow 01","Farm 23","Feb","2020-02-05","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
