"","HumanSample","HumanCohort","SiteComparison","MeanBrayCurtis"
"202","D0112-V202NS01","Non-Farmer","Same Site",0.957757521745222
"203","D0112-V203NS01","Non-Farmer","Different Site",0.902423769170395
"204","D0112-V203NS01","Non-Farmer","Same Site",0.937474901211606
"205","D0112-V302NS01","Non-Farmer","Different Site",0.928757256329436
"206","D0112-V302NS01","Non-Farmer","Same Site",0.954673286582742
"207","D0112-V402NS01","Non-Farmer","Different Site",0.920606403476382
"208","D0112-V402NS01","Non-Farmer","Same Site",0.946962964413511
"209","D0114-S001NS01","Non-Farmer","Different Site",0.892991486854582
"210","D0114-S001NS01","Non-Farmer","Same Site",0.910790036042112
"211","D0114-V103NS01","Non-Farmer","Different Site",0.935439031714315
"212","D0114-V103NS01","Non-Farmer","Same Site",0.94197982711607
"213","D0114-V201NS01","Non-Farmer","Different Site",0.804027027944256
"214","D0114-V201NS01","Non-Farmer","Same Site",0.826196421769512
"215","D0114-V202NS01","Non-Farmer","Different Site",0.936274708807087
"216","D0114-V202NS01","Non-Farmer","Same Site",0.940005540863742
"217","D0114-V203NS01","Non-Farmer","Different Site",0.891683307990399
"218","D0114-V203NS01","Non-Farmer","Same Site",0.90248123878624
"219","D0114-V301NS01","Non-Farmer","Different Site",0.813622716312183
"220","D0114-V301NS01","Non-Farmer","Same Site",0.848332051890241
"221","D0114-V302NS01","Non-Farmer","Different Site",0.931878027421164
"222","D0114-V302NS01","Non-Farmer","Same Site",0.934526655930593
"223","D0114-V303NS01","Non-Farmer","Different Site",0.933457133170057
"224","D0114-V303NS01","Non-Farmer","Same Site",0.932414778756797
"225","D0114-V402NS01","Non-Farmer","Different Site",0.944200239128164
"226","D0114-V402NS01","Non-Farmer","Same Site",0.948125908705252
"227","D0114-V403NS01","Non-Farmer","Different Site",0.935798481427556
"228","D0114-V403NS01","Non-Farmer","Same Site",0.940750830407057
"229","D0115-S001NS01","Non-Farmer","Different Site",0.830599774564922
"230","D0115-S001NS01","Non-Farmer","Same Site",0.859910176389578
"231","D0115-V103NS01","Non-Farmer","Different Site",0.922049498924826
"232","D0115-V103NS01","Non-Farmer","Same Site",0.916243564807842
"233","D0115-V201NS01","Non-Farmer","Different Site",0.898223065864832
"234","D0115-V201NS01","Non-Farmer","Same Site",0.903471337533317
"235","D0115-V202NS01","Non-Farmer","Different Site",0.897483979094738
"236","D0115-V202NS01","Non-Farmer","Same Site",0.897836746870359
"237","D0115-V203NS01","Non-Farmer","Different Site",0.895022794613026
"238","D0115-V203NS01","Non-Farmer","Same Site",0.893640328794417
"239","D0115-V301NS01","Non-Farmer","Different Site",0.890714397091409
"240","D0115-V301NS01","Non-Farmer","Same Site",0.892803482882019
"241","D0115-V302NS01","Non-Farmer","Different Site",0.932523731728623
"242","D0115-V302NS01","Non-Farmer","Same Site",0.926201223135741
"243","D0115-V303NS01","Non-Farmer","Different Site",0.886777114773861
"244","D0115-V303NS01","Non-Farmer","Same Site",0.892005750018125
"245","D0115-V402NS01","Non-Farmer","Different Site",0.925201648260904
