"","x"
"W0234-V302NS01",7
"W0234-V402NS01",11
"W0236-V102NS01",72
"W0236-V103NS01",9
"W0236-V202NS01",10
"W0236-V203NS01",10
"W0236-V302NS01",76
"W0236-V402NS01",9
"W0241-V102NS01",41
"W0241-V103NS01",66
"W0241-V202NS01",74
"W0241-V302NS01",50
"W0241-V401NS01",19
"W0241-V402NS01",173
"W0242-V102NS01",43
"W0242-V103NS01",2
"W0242-V202NS01",28
"W0242-V203NS01",70
"W0242-V302NS01",28
"W0242-V401NS01",114
"W0242-V402NS01",55
"W0302-V102NS01",6
"W0302-V103NS01",125
"W0302-V104NS01",9
"W0302-V203NS01",51
"W0302-V204NS01",93
"W0302-V303NS01",22
"W0302-V402NS01",16
"W0302-V403NS01",66
"W0326-V103NS01",23
"W0326-V202NS01",85
"W0326-V203NS01",109
"W0326-V302NS01",68
"W0326-V303NS01",89
"W0326-V402NS01",54
"W0326-V403NS01",72
"W0334-V102NS01",59
"W0334-V103NS01",68
"W0334-V202NS01",43
"W0334-V203NS01",36
"W0334-V302NS01",101
"W0334-V303NS01",66
"W0334-V402NS01",33
"W0336-V102NS01",64
"W0336-V103NS01",49
"W0336-V202NS01",40
"W0336-V203NS01",97
"W0336-V302NS01",60
"W0336-V303NS01",29
"W0336-V402NS01",52
"W0436-V102NS01",16
"W0436-V103NS01",98
"W0436-V202NS01",48
"W0436-V203NS01",35
"W0436-V302NS01",19
"W0436-V303NS01",22
"W0436-V402NS01",114
"W0502-V101NS01",66
"W0502-V102NS01",60
"W0502-V103NS01",12
"W0502-V202NS01",19
"W0502-V203NS01",20
"W0502-V302NS01",12
"W0502-V401NS01",37
"W0502-V402NS01",166
"W0536-V102NS01",14
"W0536-V103NS01",61
"W0536-V203NS01",101
"W0536-V302NS01",4
"W0536-V303NS01",183
"W0536-V402NS01",68
"W0636-V102NS01",23
"W0636-V202NS01",70
"W0636-V302NS01",54
