"","x"
"W0104-V102NS01",10
"W0104-V401NS01",6
"W0104-W001NS01",53
"W0105-P001NS01",78
"W0105-S001NS01",38
"W0105-V102NS01",122
"W0105-V401NS01",47
"W0105-W001NS01",13
"W0106-S001NS01",18
"W0106-V401NS01",55
"W0107-F001NS01",13
"W0107-S001NS01",19
"W0107-V401NS01",112
"W0108-P001NS01",56
"W0108-S001NS01",21
"W0109-F001NS01",12
"W0109-P001NS01",24
"W0109-S001NS01",61
"W0110-F001NS01",44
"W0110-P001NS01",31
"W0110-S001NS01",89
"W0110-V401NS01",117
"W0111-F001NS01",67
"W0111-P001NS01",11
"W0111-S001NS01",26
"W0111-V401NS01",81
"W0112-P001NS01",27
"W0112-S001NS01",12
"W0112-V301NS01",57
"W0112-V401NS01",46
"W0114-P001NS01",13
"W0114-S001NS01",8
"W0114-V301NS01",57
"W0114-V401NS01",49
"W0115-P001NS01",59
"W0115-S001NS01",68
"W0115-V301NS01",139
"W0115-V401NS01",127
"W0116-F001NS01",85
"W0116-P001NS01",70
"W0116-V301NS01",78
"W0117-F001NS01",85
"W0117-V301NS01",115
"W0119-S001NS01",7
"W0120-S001NS01",87
"W0120-V201NS01",104
"W0120-V301NS01",54
"W0121-F001NS01",57
"W0121-S001NS01",79
"W0121-V301NS01",51
"W0122-S001NS01",36
"W0122-V201NS01",35
"W0122-V301NS01",31
"W0123-S001NS01",85
"W0123-V201NS01",69
"W0123-V301NS01",100
"W0124-S001NS01",114
"W0124-V201NS01",34
"W0124-V301NS01",33
"W0125-S001NS01",18
"W0125-V201NS01",70
"W0125-V301NS01",72
"W0126-S001NS01",9
"W0126-V201NS01",31
"W0126-V301NS01",23
"W0127-S001NS01",11
"W0127-V201NS01",43
"W0127-V301NS01",20
"W0128-S001NS01",8
"W0128-V201NS01",38
"W0129-S001NS01",11
"W0129-V201NS01",93
"W0133-V101NS01",46
"W0133-V201NS01",10
"W0134-V101NS01",84
"W0134-V201NS01",26
"W0135-V101NS01",31
"W0136-V101NS01",98
"W0136-V201NS01",29
"W0137-V101NS01",78
"W0138-V101NS01",27
"W0139-V101NS01",41
"W0141-V101NS01",55
"W0142-V101NS01",81
"W0143-V101NS01",24
"W0201-P001NS01",12
"W0202-P001NS01",12
"W0202-S001NS01",12
"W0202-V102NS01",42
"W0202-V401NS01",45
"W0202-W001NS01",61
"W0210-F001NS01",21
"W0210-P001NS01",49
"W0210-S001NS01",61
"W0210-V401NS01",60
"W0215-P001NS01",95
"W0215-S001NS01",89
"W0215-V301NS01",68
"W0216-F001NS01",40
"W0216-P001NS01",85
"W0216-V301NS01",47
"W0219-S001NS01",1
"W0221-V101NS01",30
"W0222-V101NS01",92
"W0222-V201NS01",40
"W0223-S001NS01",38
"W0223-V201NS01",63
"W0223-V301NS01",95
"W0226-S001NS01",88
"W0226-V201NS01",43
"W0226-V301NS01",87
"W0228-S001NS01",69
"W0228-V201NS01",47
"W0229-S001NS01",22
"W0229-V201NS01",150
"W0233-V101NS01",34
"W0233-V201NS01",106
"W0234-V101NS01",43
"W0234-V201NS01",25
"W0236-V101NS01",18
"W0236-V201NS01",28
"W0239-V101NS01",45
"W0241-V101NS01",89
"W0242-V101NS01",34
"W0301-P001NS01",13
"W0302-P001NS01",13
"W0302-S001NS01",6
"W0302-V401NS01",54
"W0302-W001NS01",36
"W0326-S001NS01",39
"W0326-V201NS01",58
"W0326-V301NS01",6
"W0334-V101NS01",73
"W0334-V201NS01",56
"W0336-V101NS01",41
"W0336-V201NS01",16
"W0339-V101NS01",63
"W0402-P001NS01",6
"W0402-S001NS01",8
"W0402-V102NS01",23
"W0402-V401NS01",20
"W0402-W001NS01",14
"W0436-V101NS01",103
"W0436-V201NS01",15
"W0536-V101NS01",104
"W0536-V201NS01",26
"W0636-V101NS01",78
"W0636-V201NS01",100
"W0736-V101NS01",30
"C0103-V103NS01",120
"C0103-V104NS01",35
"C0103-V203NS01",74
"C0103-V303NS01",72
"C0103-V402NS01",48
"C0103-V403NS01",121
"C0106-V103NS01",112
"C0106-V203NS01",87
"C0106-V302NS01",24
"C0106-V303NS01",85
"C0106-V402NS01",22
"C0106-V403NS01",73
"C0107-V302NS01",141
"C0110-V302NS01",41
"C0111-V302NS01",12
"C0112-V103NS01",83
"C0112-V203NS01",116
"C0112-V302NS01",43
"C0112-V303NS01",163
"C0112-V402NS01",88
"C0112-V403NS01",100
"C0115-V103NS01",86
"C0115-V104NS01",149
"C0115-V203NS01",74
"C0115-V302NS01",108
"C0115-V303NS01",150
"C0115-V402NS01",30
"C0115-V403NS01",19
"C0116-V103NS01",90
"C0116-V203NS01",80
"C0116-V302NS01",28
"C0116-V303NS01",152
"C0116-V402NS01",203
"C0116-V403NS01",250
"C0117-V103NS01",135
"C0117-V203NS01",101
"C0117-V302NS01",57
"C0117-V401NS01",152
"C0119-V103NS01",83
"C0119-V202NS01",67
"C0119-V302NS01",15
"C0119-V303NS01",188
"C0119-V402NS01",88
"C0120-V202NS01",147
"C0121-V103NS01",77
"C0121-V202NS01",165
"C0121-V203NS01",111
"C0121-V302NS01",32
"C0121-V303NS01",118
"C0121-V402NS01",74
"C0121-V403NS01",125
"C0122-V103NS01",64
"C0122-V202NS01",41
"C0122-V203NS01",16
"C0122-V302NS01",16
"C0122-V303NS01",88
"C0122-V402NS01",76
"C0122-V403NS01",65
"C0124-V103NS01",130
"C0124-V202NS01",42
"C0124-V203NS01",69
"C0124-V302NS01",12
"C0124-V303NS01",91
