"Sample.ID","Subject","Site","Month","Collection.Date","Sample.Type","Season","Year","Cohort","Richness"
"C0128-S001NS01","Cow 01","Farm 28","Sep","2019-09-10","NASAL SWAB","Autumn","Year 1","Cow",113
"C0128-V201NS01","Cow 01","Farm 28","Dec","2019-12-10","NASAL SWAB","Winter","Year 1","Cow",165
"C0129-S001NS01","Cow 01","Farm 29","Sep","2019-09-17","NASAL SWAB","Autumn","Year 1","Cow",28
"C0129-V201NS01","Cow 01","Farm 29","Dec","2019-12-10","NASAL SWAB","Winter","Year 1","Cow",112
"C0133-V101NS01","Cow 01","Farm 33","Nov","2019-11-18","NASAL SWAB","Autumn","Year 1","Cow",146
"C0133-V201NS01","Cow 01","Farm 33","Feb","2020-02-11","NASAL SWAB","Winter","Year 1","Cow",134
"C0134-V101NS01","Cow 01","Farm 34","Nov","2019-11-07","NASAL SWAB","Autumn","Year 1","Cow",144
"C0134-V201NS01","Cow 01","Farm 34","Jan","2020-01-28","NASAL SWAB","Winter","Year 1","Cow",94
"C0135-V101NS01","Cow 01","Farm 35","Dec","2019-12-11","NASAL SWAB","Winter","Year 1","Cow",107
"C0136-V101NS01","Cow 01","Farm 36","Nov","2019-11-21","NASAL SWAB","Autumn","Year 1","Cow",78
"C0136-V201NS01","Cow 01","Farm 36","Feb","2020-02-17","NASAL SWAB","Winter","Year 1","Cow",141
"C0137-V101NS01","Cow 01","Farm 37","Jan","2020-01-13","NASAL SWAB","Winter","Year 1","Cow",184
"C0138-V101NS01","Cow 01","Farm 38","Jan","2020-01-14","NASAL SWAB","Winter","Year 1","Cow",81
"C0139-V101NS01","Cow 01","Farm 39","Jan","2020-01-10","NASAL SWAB","Winter","Year 1","Cow",65
"C0141-V101NS01","Cow 01","Farm 41","Feb","2020-02-13","NASAL SWAB","Winter","Year 1","Cow",52
"C0142-V101NS01","Cow 01","Farm 42","Feb","2020-02-20","NASAL SWAB","Winter","Year 1","Cow",97
"C0143-V101NS01","Cow 01","Farm 43","Feb","2020-02-28","NASAL SWAB","Winter","Year 1","Cow",96
"C0201-P001NS01","Cow 02","Farm 01","Jun","2019-06-12","NASAL SWAB","Summer","Year 1","Cow",74
"C0202-P001NS01","Cow 02","Farm 02","Jun","2019-06-04","NASAL SWAB","Summer","Year 1","Cow",99
"C0202-S001NS01","Cow 02","Farm 02","Sep","2019-09-10","NASAL SWAB","Autumn","Year 1","Cow",92
"C0202-W001NS01","Cow 02","Farm 02","Mar","2019-03-27","NASAL SWAB","Spring","Year 1","Cow",119
"C0203-P001NS01","Cow 02","Farm 03","Jun","2019-06-12","NASAL SWAB","Summer","Year 1","Cow",89
"C0203-S001NS01","Cow 02","Farm 03","Sep","2019-09-12","NASAL SWAB","Autumn","Year 1","Cow",97
"C0203-V401NS01","Cow 02","Farm 03","Dec","2019-12-05","NASAL SWAB","Winter","Year 1","Cow",98
"C0203-W001NS01","Cow 02","Farm 03","Apr","2019-04-04","NASAL SWAB","Spring","Year 1","Cow",154
"C0204-P001NS01","Cow 02","Farm 04","Jun","2019-06-03","NASAL SWAB","Summer","Year 1","Cow",78
"C0204-S001NS01","Cow 02","Farm 04","Sep","2019-09-09","NASAL SWAB","Autumn","Year 1","Cow",183
"C0204-V401NS01","Cow 02","Farm 04","Dec","2019-12-02","NASAL SWAB","Winter","Year 1","Cow",118
